InvoiceNumber,Date,Time,CustomerName,TotalAmount,Discount,VoucherCode,Status,ItemsJson
HD20260807-162803,07/08/2026,13:28:03,Khách vãng lai,450000.0,30,DISCOUNT_070,Completed,"[{""category"":""Food"",""ice"":"""",""id"":""F008"",""name"":""Bánh Su Kem"",""note"":"""",""quantity"":3,""size"":""M"",""toppings"":"""",""totalPrice"":84000.0},{""category"":""Drink"",""ice"":""Nhiều đá"",""id"":""D007"",""name"":""Latte"",""note"":"""",""quantity"":3,""size"":""S"",""toppings"":"""",""totalPrice"":135000.0},{""category"":""Food"",""ice"":"""",""id"":""F011"",""name"":""Brownie Socola"",""note"":"""",""quantity"":3,""size"":""M"",""toppings"":"""",""totalPrice"":96000.0},{""category"":""Food"",""ice"":"""",""id"":""F006"",""name"":""Bánh Red Velvet"",""note"":"""",""quantity"":3,""size"":""M"",""toppings"":"""",""totalPrice"":135000.0}]"
HD20260807-134109,07/08/2026,13:41:09,Khách vãng lai,202000.0,10,DISCOUNT_079,Completed,"[{""category"":""Food"",""ice"":"""",""id"":""F004"",""name"":""Bánh Macaron"",""note"":"""",""quantity"":1,""size"":""M"",""toppings"":"""",""totalPrice"":25000.0},{""category"":""Food"",""ice"":"""",""id"":""F001"",""name"":""Bánh Tiramisu"",""note"":"""",""quantity"":2,""size"":""M"",""toppings"":"""",""totalPrice"":78000.0},{""category"":""Food"",""ice"":"""",""id"":""F015"",""name"":""Combo Bánh Ngọt"",""note"":"""",""quantity"":1,""size"":""M"",""toppings"":"""",""totalPrice"":99000.0}]"
HD20260807-112129,07/08/2026,11:21:29,Khách vãng lai,283000.0,25,DISCOUNT_054,Completed,"[{""category"":""Drink"",""ice"":""Bình thường"",""id"":""D002"",""name"":""Cà phê sữa đá"",""note"":"""",""quantity"":3,""size"":""S"",""toppings"":"""",""totalPrice"":87000.0},{""category"":""Drink"",""ice"":""Bình thường"",""id"":""D005"",""name"":""Americano"",""note"":"""",""quantity"":3,""size"":""L"",""toppings"":"""",""totalPrice"":147000.0},{""category"":""Drink"",""ice"":""Nhiều đá"",""id"":""D005"",""name"":""Americano"",""note"":"""",""quantity"":1,""size"":""L"",""toppings"":"""",""totalPrice"":49000.0}]"
HD20260807-111601,07/08/2026,11:16:01,Khách vãng lai,230000.0,25,DISCOUNT_098,Completed,"[{""category"":""Drink"",""ice"":""Ít đá"",""id"":""D003"",""name"":""Bạc xỉu"",""note"":"""",""quantity"":3,""size"":""L"",""toppings"":"""",""totalPrice"":126000.0},{""category"":""Drink"",""ice"":""Ít đá"",""id"":""D013"",""name"":""Trà chanh mật ong"",""note"":"""",""quantity"":1,""size"":""M"",""toppings"":"""",""totalPrice"":44000.0},{""category"":""Drink"",""ice"":""Bình thường"",""id"":""D001"",""name"":""Cà phê đen đá"",""note"":"""",""quantity"":2,""size"":""M"",""toppings"":"""",""totalPrice"":60000.0}]"
HD20260807-110903,07/08/2026,11:09:03,Khách vãng lai,195000.0,25,DISCOUNT_054,Completed,"[{""category"":""Food"",""ice"":"""",""id"":""F010"",""name"":""Cookie Matcha"",""note"":"""",""quantity"":1,""size"":""M"",""toppings"":"""",""totalPrice"":18000.0},{""category"":""Drink"",""ice"":""Bình thường"",""id"":""D019"",""name"":""Oreo đá xay"",""note"":"""",""quantity"":2,""size"":""M"",""toppings"":"""",""totalPrice"":128000.0},{""category"":""Drink"",""ice"":""Nhiều đá"",""id"":""D013"",""name"":""Trà chanh mật ong"",""note"":"""",""quantity"":1,""size"":""L"",""toppings"":"""",""totalPrice"":49000.0}]"
HD20260807-102121,07/08/2026,10:21:21,Khách vãng lai,277000.0,0,,Completed,"[{""category"":""Drink"",""ice"":""Nhiều đá"",""id"":""D020"",""name"":""Nước ép dưa hấu"",""note"":"""",""quantity"":1,""size"":""M"",""toppings"":"""",""totalPrice"":45000.0},{""category"":""Food"",""ice"":"""",""id"":""F007"",""name"":""Cheesecake Việt Quất"",""note"":"""",""quantity"":2,""size"":""M"",""toppings"":"""",""totalPrice"":98000.0},{""category"":""Food"",""ice"":"""",""id"":""F005"",""name"":""Bánh Mousse Chanh Dây"",""note"":"""",""quantity"":2,""size"":""M"",""toppings"":"""",""totalPrice"":84000.0},{""category"":""Drink"",""ice"":""Bình thường"",""id"":""D009"",""name"":""Cacao"",""note"":"""",""quantity"":1,""size"":""M"",""toppings"":"""",""totalPrice"":50000.0}]"
HD20260807-084400,07/08/2026,08:44:00,Khách vãng lai,455000.0,0,,Completed,"[{""category"":""Drink"",""ice"":""Bình thường"",""id"":""D016"",""name"":""Trà sữa truyền thống"",""note"":"""",""quantity"":2,""size"":""M"",""toppings"":"""",""totalPrice"":88000.0},{""category"":""Food"",""ice"":"""",""id"":""F015"",""name"":""Combo Bánh Ngọt"",""note"":"""",""quantity"":3,""size"":""M"",""toppings"":"""",""totalPrice"":297000.0},{""category"":""Food"",""ice"":"""",""id"":""F009"",""name"":""Cookie Chocolate Chip"",""note"":"""",""quantity"":1,""size"":""M"",""toppings"":"""",""totalPrice"":18000.0},{""category"":""Drink"",""ice"":""Ít đá"",""id"":""D023"",""name"":""Nước ép thơm"",""note"":"""",""quantity"":1,""size"":""L"",""toppings"":"""",""totalPrice"":52000.0}]"
HD20260806-200923,06/08/2026,20:09:23,Khách vãng lai,539000.0,0,,Completed,"[{""category"":""Drink"",""ice"":""Ít đá"",""id"":""D008"",""name"":""Mocha"",""note"":"""",""quantity"":3,""size"":""L"",""toppings"":"""",""totalPrice"":177000.0},{""category"":""Drink"",""ice"":""Ít đá"",""id"":""D016"",""name"":""Trà sữa truyền thống"",""note"":"""",""quantity"":3,""size"":""M"",""toppings"":"""",""totalPrice"":132000.0},{""category"":""Drink"",""ice"":""Nhiều đá"",""id"":""D018"",""name"":""Socola đá xay"",""note"":"""",""quantity"":3,""size"":""M"",""toppings"":"""",""totalPrice"":180000.0},{""category"":""Drink"",""ice"":""Bình thường"",""id"":""D010"",""name"":""Trà đào cam sả"",""note"":"""",""quantity"":1,""size"":""M"",""toppings"":"""",""totalPrice"":50000.0}]"
HD20260806-195757,06/08/2026,19:57:57,Khách vãng lai,75000.0,10,DISCOUNT_080,Completed,"[{""category"":""Food"",""ice"":"""",""id"":""F014"",""name"":""Pudding Caramel"",""note"":"""",""quantity"":3,""size"":""M"",""toppings"":"""",""totalPrice"":75000.0}]"
HD20260806-190411,06/08/2026,19:04:11,Khách vãng lai,236000.0,0,,Completed,"[{""category"":""Drink"",""ice"":""Bình thường"",""id"":""D003"",""name"":""Bạc xỉu"",""note"":"""",""quantity"":2,""size"":""M"",""toppings"":"""",""totalPrice"":74000.0},{""category"":""Drink"",""ice"":""Nhiều đá"",""id"":""D012"",""name"":""Trà ô long sen vàng"",""note"":"""",""quantity"":3,""size"":""M"",""toppings"":"""",""totalPrice"":162000.0}]"
HD20260806-182331,06/08/2026,18:23:31,Khách vãng lai,18000.0,25,DISCOUNT_098,Completed,"[{""category"":""Food"",""ice"":"""",""id"":""F009"",""name"":""Cookie Chocolate Chip"",""note"":"""",""quantity"":1,""size"":""M"",""toppings"":"""",""totalPrice"":18000.0}]"
HD20260806-155236,06/08/2026,15:52:36,Khách vãng lai,162000.0,20,DISCOUNT_099,Completed,"[{""category"":""Drink"",""ice"":""Bình thường"",""id"":""D012"",""name"":""Trà ô long sen vàng"",""note"":"""",""quantity"":2,""size"":""L"",""toppings"":"""",""totalPrice"":118000.0},{""category"":""Drink"",""ice"":""Bình thường"",""id"":""D013"",""name"":""Trà chanh mật ong"",""note"":"""",""quantity"":1,""size"":""M"",""toppings"":"""",""totalPrice"":44000.0}]"
HD20260806-155128,06/08/2026,15:51:28,Khách vãng lai,193000.0,0,,Completed,"[{""category"":""Food"",""ice"":"""",""id"":""F001"",""name"":""Bánh Tiramisu"",""note"":"""",""quantity"":1,""size"":""M"",""toppings"":"""",""totalPrice"":39000.0},{""category"":""Food"",""ice"":"""",""id"":""F009"",""name"":""Cookie Chocolate Chip"",""note"":"""",""quantity"":3,""size"":""M"",""toppings"":"""",""totalPrice"":54000.0},{""category"":""Drink"",""ice"":""Bình thường"",""id"":""D015"",""name"":""Trà sữa matcha"",""note"":"""",""quantity"":1,""size"":""M"",""toppings"":"""",""totalPrice"":50000.0},{""category"":""Food"",""ice"":"""",""id"":""F014"",""name"":""Pudding Caramel"",""note"":"""",""quantity"":2,""size"":""M"",""toppings"":"""",""totalPrice"":50000.0}]"
HD20260806-150358,06/08/2026,15:03:58,Khách vãng lai,100000.0,0,,Completed,"[{""category"":""Drink"",""ice"":""Bình thường"",""id"":""D010"",""name"":""Trà đào cam sả"",""note"":"""",""quantity"":2,""size"":""M"",""toppings"":"""",""totalPrice"":100000.0}]"
HD20260806-145746,06/08/2026,14:57:46,Khách vãng lai,184000.0,0,,Completed,"[{""category"":""Food"",""ice"":"""",""id"":""F014"",""name"":""Pudding Caramel"",""note"":"""",""quantity"":2,""size"":""M"",""toppings"":"""",""totalPrice"":50000.0},{""category"":""Drink"",""ice"":""Bình thường"",""id"":""D006"",""name"":""Cappuccino"",""note"":"""",""quantity"":2,""size"":""M"",""toppings"":"""",""totalPrice"":100000.0},{""category"":""Drink"",""ice"":""Nhiều đá"",""id"":""D002"",""name"":""Cà phê sữa đá"",""note"":"""",""quantity"":1,""size"":""M"",""toppings"":"""",""totalPrice"":34000.0}]"
HD20260806-130736,06/08/2026,13:07:36,Khách vãng lai,185000.0,0,,Completed,"[{""category"":""Food"",""ice"":"""",""id"":""F013"",""name"":""Panna Cotta"",""note"":"""",""quantity"":1,""size"":""M"",""toppings"":"""",""totalPrice"":35000.0},{""category"":""Drink"",""ice"":""Nhiều đá"",""id"":""D015"",""name"":""Trà sữa matcha"",""note"":"""",""quantity"":2,""size"":""M"",""toppings"":"""",""totalPrice"":100000.0},{""category"":""Food"",""ice"":"""",""id"":""F004"",""name"":""Bánh Macaron"",""note"":"""",""quantity"":2,""size"":""M"",""toppings"":"""",""totalPrice"":50000.0}]"
HD20260806-115020,06/08/2026,11:50:20,Khách vãng lai,78000.0,0,,Completed,"[{""category"":""Food"",""ice"":"""",""id"":""F001"",""name"":""Bánh Tiramisu"",""note"":"""",""quantity"":2,""size"":""M"",""toppings"":"""",""totalPrice"":78000.0}]"
HD20260806-113353,06/08/2026,11:33:53,Khách vãng lai,301000.0,0,,Completed,"[{""category"":""Drink"",""ice"":""Nhiều đá"",""id"":""D001"",""name"":""Cà phê đen đá"",""note"":"""",""quantity"":2,""size"":""L"",""toppings"":"""",""totalPrice"":70000.0},{""category"":""Food"",""ice"":"""",""id"":""F001"",""name"":""Bánh Tiramisu"",""note"":"""",""quantity"":2,""size"":""M"",""toppings"":"""",""totalPrice"":78000.0},{""category"":""Food"",""ice"":"""",""id"":""F003"",""name"":""Bánh Donut"",""note"":"""",""quantity"":1,""size"":""M"",""toppings"":"""",""totalPrice"":36000.0},{""category"":""Food"",""ice"":"""",""id"":""F001"",""name"":""Bánh Tiramisu"",""note"":"""",""quantity"":3,""size"":""M"",""toppings"":"""",""totalPrice"":117000.0}]"
HD20260806-111109,06/08/2026,11:11:09,Khách vãng lai,108000.0,0,,Completed,"[{""category"":""Drink"",""ice"":""Nhiều đá"",""id"":""D009"",""name"":""Cacao"",""note"":"""",""quantity"":2,""size"":""S"",""toppings"":"""",""totalPrice"":90000.0},{""category"":""Food"",""ice"":"""",""id"":""F010"",""name"":""Cookie Matcha"",""note"":"""",""quantity"":1,""size"":""M"",""toppings"":"""",""totalPrice"":18000.0}]"
HD20260806-102959,06/08/2026,10:29:59,Khách vãng lai,332000.0,50,DISCOUNT_060,Completed,"[{""category"":""Drink"",""ice"":""Ít đá"",""id"":""D010"",""name"":""Trà đào cam sả"",""note"":"""",""quantity"":3,""size"":""L"",""toppings"":"""",""totalPrice"":165000.0},{""category"":""Drink"",""ice"":""Bình thường"",""id"":""D019"",""name"":""Oreo đá xay"",""note"":"""",""quantity"":2,""size"":""M"",""toppings"":"""",""totalPrice"":128000.0},{""category"":""Food"",""ice"":"""",""id"":""F001"",""name"":""Bánh Tiramisu"",""note"":"""",""quantity"":1,""size"":""M"",""toppings"":"""",""totalPrice"":39000.0}]"
HD20260805-185702,05/08/2026,18:57:02,Khách vãng lai,105000.0,0,,Completed,"[{""category"":""Drink"",""ice"":""Nhiều đá"",""id"":""D001"",""name"":""Cà phê đen đá"",""note"":"""",""quantity"":3,""size"":""L"",""toppings"":"""",""totalPrice"":105000.0}]"
HD20260805-183054,05/08/2026,18:30:54,Khách vãng lai,331000.0,0,,Completed,"[{""category"":""Drink"",""ice"":""Bình thường"",""id"":""D010"",""name"":""Trà đào cam sả"",""note"":"""",""quantity"":2,""size"":""M"",""toppings"":"""",""totalPrice"":100000.0},{""category"":""Food"",""ice"":"""",""id"":""F006"",""name"":""Bánh Red Velvet"",""note"":"""",""quantity"":3,""size"":""M"",""toppings"":"""",""totalPrice"":135000.0},{""category"":""Drink"",""ice"":""Ít đá"",""id"":""D003"",""name"":""Bạc xỉu"",""note"":"""",""quantity"":3,""size"":""S"",""toppings"":"""",""totalPrice"":96000.0}]"
HD20260805-171358,05/08/2026,17:13:58,Khách vãng lai,100000.0,0,,Completed,"[{""category"":""Drink"",""ice"":""Bình thường"",""id"":""D011"",""name"":""Trà vải thiều"",""note"":"""",""quantity"":2,""size"":""M"",""toppings"":"""",""totalPrice"":100000.0}]"
HD20260805-163512,05/08/2026,16:35:12,Khách vãng lai,484000.0,0,,Completed,"[{""category"":""Drink"",""ice"":""Bình thường"",""id"":""D016"",""name"":""Trà sữa truyền thống"",""note"":"""",""quantity"":3,""size"":""M"",""toppings"":"""",""totalPrice"":132000.0},{""category"":""Food"",""ice"":"""",""id"":""F015"",""name"":""Combo Bánh Ngọt"",""note"":"""",""quantity"":3,""size"":""M"",""toppings"":"""",""totalPrice"":297000.0},{""category"":""Drink"",""ice"":""Nhiều đá"",""id"":""D015"",""name"":""Trà sữa matcha"",""note"":"""",""quantity"":1,""size"":""L"",""toppings"":"""",""totalPrice"":55000.0}]"
HD20260805-160836,05/08/2026,16:08:36,Khách vãng lai,223000.0,0,,Completed,"[{""category"":""Drink"",""ice"":""Ít đá"",""id"":""D016"",""name"":""Trà sữa truyền thống"",""note"":"""",""quantity"":1,""size"":""M"",""toppings"":"""",""totalPrice"":44000.0},{""category"":""Drink"",""ice"":""Bình thường"",""id"":""D002"",""name"":""Cà phê sữa đá"",""note"":"""",""quantity"":1,""size"":""S"",""toppings"":"""",""totalPrice"":29000.0},{""category"":""Drink"",""ice"":""Ít đá"",""id"":""D010"",""name"":""Trà đào cam sả"",""note"":"""",""quantity"":3,""size"":""M"",""toppings"":"""",""totalPrice"":150000.0}]"
HD20260805-141419,05/08/2026,14:14:19,Khách vãng lai,377000.0,0,,Completed,"[{""category"":""Food"",""ice"":"""",""id"":""F007"",""name"":""Cheesecake Việt Quất"",""note"":"""",""quantity"":1,""size"":""M"",""toppings"":"""",""totalPrice"":49000.0},{""category"":""Drink"",""ice"":""Nhiều đá"",""id"":""D001"",""name"":""Cà phê đen đá"",""note"":"""",""quantity"":3,""size"":""M"",""toppings"":"""",""totalPrice"":90000.0},{""category"":""Drink"",""ice"":""Nhiều đá"",""id"":""D020"",""name"":""Nước ép dưa hấu"",""note"":"""",""quantity"":2,""size"":""L"",""toppings"":"""",""totalPrice"":100000.0},{""category"":""Drink"",""ice"":""Nhiều đá"",""id"":""D019"",""name"":""Oreo đá xay"",""note"":"""",""quantity"":2,""size"":""L"",""toppings"":"""",""totalPrice"":138000.0}]"
HD20260805-134016,05/08/2026,13:40:16,Khách vãng lai,50000.0,0,,Completed,"[{""category"":""Drink"",""ice"":""Ít đá"",""id"":""D015"",""name"":""Trà sữa matcha"",""note"":"""",""quantity"":1,""size"":""M"",""toppings"":"""",""totalPrice"":50000.0}]"
HD20260805-132940,05/08/2026,13:29:40,Khách vãng lai,278000.0,10,DISCOUNT_062,Completed,"[{""category"":""Drink"",""ice"":""Nhiều đá"",""id"":""D022"",""name"":""Nước ép táo"",""note"":"""",""quantity"":2,""size"":""M"",""toppings"":"""",""totalPrice"":100000.0},{""category"":""Drink"",""ice"":""Ít đá"",""id"":""D002"",""name"":""Cà phê sữa đá"",""note"":"""",""quantity"":2,""size"":""S"",""toppings"":"""",""totalPrice"":58000.0},{""category"":""Food"",""ice"":"""",""id"":""F002"",""name"":""Bánh Croissant"",""note"":"""",""quantity"":2,""size"":""M"",""toppings"":"""",""totalPrice"":70000.0},{""category"":""Food"",""ice"":"""",""id"":""F014"",""name"":""Pudding Caramel"",""note"":"""",""quantity"":2,""size"":""M"",""toppings"":"""",""totalPrice"":50000.0}]"
HD20260805-114250,05/08/2026,11:42:50,Khách vãng lai,293000.0,0,,Completed,"[{""category"":""Food"",""ice"":"""",""id"":""F007"",""name"":""Cheesecake Việt Quất"",""note"":"""",""quantity"":1,""size"":""M"",""toppings"":"""",""totalPrice"":49000.0},{""category"":""Drink"",""ice"":""Bình thường"",""id"":""D019"",""name"":""Oreo đá xay"",""note"":"""",""quantity"":2,""size"":""L"",""toppings"":"""",""totalPrice"":138000.0},{""category"":""Food"",""ice"":"""",""id"":""F013"",""name"":""Panna Cotta"",""note"":"""",""quantity"":2,""size"":""M"",""toppings"":"""",""totalPrice"":70000.0},{""category"":""Food"",""ice"":"""",""id"":""F010"",""name"":""Cookie Matcha"",""note"":"""",""quantity"":2,""size"":""M"",""toppings"":"""",""totalPrice"":36000.0}]"
HD20260805-110043,05/08/2026,11:00:43,Khách vãng lai,274000.0,0,,Completed,"[{""category"":""Food"",""ice"":"""",""id"":""F007"",""name"":""Cheesecake Việt Quất"",""note"":"""",""quantity"":1,""size"":""M"",""toppings"":"""",""totalPrice"":49000.0},{""category"":""Drink"",""ice"":""Nhiều đá"",""id"":""D007"",""name"":""Latte"",""note"":"""",""quantity"":1,""size"":""L"",""toppings"":"""",""totalPrice"":55000.0},{""category"":""Food"",""ice"":"""",""id"":""F005"",""name"":""Bánh Mousse Chanh Dây"",""note"":"""",""quantity"":3,""size"":""M"",""toppings"":"""",""totalPrice"":126000.0},{""category"":""Drink"",""ice"":""Bình thường"",""id"":""D013"",""name"":""Trà chanh mật ong"",""note"":"""",""quantity"":1,""size"":""M"",""toppings"":"""",""totalPrice"":44000.0}]"
HD20260805-102746,05/08/2026,10:27:46,Khách vãng lai,38000.0,30,DISCOUNT_096,Completed,"[{""category"":""Food"",""ice"":"""",""id"":""F012"",""name"":""Bánh Cuộn Matcha"",""note"":"""",""quantity"":1,""size"":""M"",""toppings"":"""",""totalPrice"":38000.0}]"
HD20260805-083509,05/08/2026,08:35:09,Khách vãng lai,165000.0,0,,Completed,"[{""category"":""Drink"",""ice"":""Bình thường"",""id"":""D005"",""name"":""Americano"",""note"":"""",""quantity"":1,""size"":""S"",""toppings"":"""",""totalPrice"":39000.0},{""category"":""Food"",""ice"":"""",""id"":""F009"",""name"":""Cookie Chocolate Chip"",""note"":"""",""quantity"":2,""size"":""M"",""toppings"":"""",""totalPrice"":36000.0},{""category"":""Food"",""ice"":"""",""id"":""F013"",""name"":""Panna Cotta"",""note"":"""",""quantity"":1,""size"":""M"",""toppings"":"""",""totalPrice"":35000.0},{""category"":""Drink"",""ice"":""Ít đá"",""id"":""D022"",""name"":""Nước ép táo"",""note"":"""",""quantity"":1,""size"":""L"",""toppings"":"""",""totalPrice"":55000.0}]"
HD20260805-083359,05/08/2026,08:33:59,Khách vãng lai,38000.0,30,DISCOUNT_091,Completed,"[{""category"":""Food"",""ice"":"""",""id"":""F012"",""name"":""Bánh Cuộn Matcha"",""note"":"""",""quantity"":1,""size"":""M"",""toppings"":"""",""totalPrice"":38000.0}]"
HD20260805-081253,05/08/2026,08:12:53,Khách vãng lai,457000.0,0,,Completed,"[{""category"":""Food"",""ice"":"""",""id"":""F004"",""name"":""Bánh Macaron"",""note"":"""",""quantity"":1,""size"":""M"",""toppings"":"""",""totalPrice"":25000.0},{""category"":""Drink"",""ice"":""Nhiều đá"",""id"":""D022"",""name"":""Nước ép táo"",""note"":"""",""quantity"":3,""size"":""L"",""toppings"":"""",""totalPrice"":165000.0},{""category"":""Drink"",""ice"":""Nhiều đá"",""id"":""D015"",""name"":""Trà sữa matcha"",""note"":"""",""quantity"":3,""size"":""M"",""toppings"":"""",""totalPrice"":150000.0},{""category"":""Food"",""ice"":"""",""id"":""F001"",""name"":""Bánh Tiramisu"",""note"":"""",""quantity"":3,""size"":""M"",""toppings"":"""",""totalPrice"":117000.0}]"
HD20260804-203428,04/08/2026,20:34:28,Khách vãng lai,461000.0,0,,Completed,"[{""category"":""Drink"",""ice"":""Nhiều đá"",""id"":""D023"",""name"":""Nước ép thơm"",""note"":"""",""quantity"":3,""size"":""M"",""toppings"":"""",""totalPrice"":141000.0},{""category"":""Drink"",""ice"":""Nhiều đá"",""id"":""D018"",""name"":""Socola đá xay"",""note"":"""",""quantity"":2,""size"":""L"",""toppings"":"""",""totalPrice"":130000.0},{""category"":""Food"",""ice"":"""",""id"":""F006"",""name"":""Bánh Red Velvet"",""note"":"""",""quantity"":3,""size"":""M"",""toppings"":"""",""totalPrice"":135000.0},{""category"":""Drink"",""ice"":""Bình thường"",""id"":""D006"",""name"":""Cappuccino"",""note"":"""",""quantity"":1,""size"":""L"",""toppings"":"""",""totalPrice"":55000.0}]"
HD20260804-193029,04/08/2026,19:30:29,Khách vãng lai,255000.0,0,,Completed,"[{""category"":""Food"",""ice"":"""",""id"":""F002"",""name"":""Bánh Croissant"",""note"":"""",""quantity"":3,""size"":""M"",""toppings"":"""",""totalPrice"":105000.0},{""category"":""Food"",""ice"":"""",""id"":""F011"",""name"":""Brownie Socola"",""note"":"""",""quantity"":3,""size"":""M"",""toppings"":"""",""totalPrice"":96000.0},{""category"":""Food"",""ice"":"""",""id"":""F009"",""name"":""Cookie Chocolate Chip"",""note"":"""",""quantity"":3,""size"":""M"",""toppings"":"""",""totalPrice"":54000.0}]"
